,0
0,Redwood City
1,No city
2,No city
3,No city
4,Vancouver
5,No city
6,No city
7,No city
8,No city
9,No city
10,No city
11,No city
12,No city
13,No city
14,No city
15,No city
16,No city
17,No city
18,No city
19,No city
20,No city
21,No city
22,No city
23,No city
24,No city
25,No city
26,No city
27,No city
28,No city
29,No city
30,No city
31,No city
32,No city
33,No city
34,No city
35,No city
36,No city
37,Redwood City
38,No city
39,No city
40,No city
41,No city
42,No city
43,No city
44,New York
45,No city
46,No city
47,No city
48,Fingal
49,No city
50,No city
51,No city
52,No city
53,No city
54,No city
55,No city
56,No city
57,No city
58,No city
59,No city
60,No city
61,No city
62,No city
63,No city
64,No city
65,No city
66,No city
67,Towson
68,No city
69,No city
70,No city
71,No city
72,No city
73,No city
74,No city
75,No city
76,No city
77,No city
78,No city
79,No city
80,No city
81,No city
82,No city
83,No city
84,No city
85,No city
86,No city
87,No city
88,No city
89,No city
90,No city
91,No city
92,No city
93,No city
94,No city
95,No city
96,No city
97,No city
98,No city
99,No city
100,No city
101,No city
102,No city
103,No city
104,No city
105,No city
106,No city
107,No city
108,No city
109,No city
110,Round Rock
111,No city
112,No city
113,No city
114,No city
115,No city
116,No city
117,No city
118,No city
119,No city
120,No city
121,No city
122,No city
123,No city
124,No city
125,No city
126,No city
127,No city
128,No city
129,No city
130,No city
131,No city
132,No city
133,New York
134,No city
135,No city
136,No city
137,No city
138,No city
139,No city
140,No city
141,No city
142,No city
143,No city
144,No city
145,No city
146,No city
147,Lehi
148,No city
149,No city
150,No city
151,No city
152,No city
153,No city
154,No city
155,Fingal
156,No city
157,No city
158,No city
159,No city
160,No city
161,No city
162,No city
163,No city
164,No city
165,No city
166,No city
167,No city
168,No city
169,No city
170,No city
171,No city
172,No city
173,No city
174,No city
175,No city
176,No city
177,No city
178,No city
179,Columbus
180,No city
181,No city
182,No city
183,Minsk
184,No city
185,No city
186,No city
187,No city
188,New York
189,No city
190,No city
191,New York
192,No city
193,No city
194,No city
195,No city
196,No city
197,No city
198,No city
199,No city
200,No city
201,No city
202,No city
203,No city
204,No city
205,No city
206,No city
207,No city
208,No city
209,No city
210,No city
211,No city
212,No city
213,No city
214,No city
215,No city
216,No city
217,No city
218,No city
219,New York
220,No city
221,No city
222,No city
223,No city
224,No city
225,New York
226,No city
227,No city
228,No city
229,No city
230,No city
231,No city
232,No city
233,No city
234,No city
235,No city
236,No city
237,No city
238,No city
239,No city
240,No city
241,No city
242,No city
243,No city
244,No city
245,No city
246,No city
247,No city
248,New York
249,New York
250,No city
251,No city
252,No city
253,No city
254,No city
255,No city
256,No city
257,No city
258,No city
259,No city
260,No city
261,No city
